author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability
AaronDewes,1,0,0.0,,1,0,0.0,
Arpan200502,1,0,0.0,,1,1,1.0,
Basit-Balogun10,2,0,0.0,,2,0,0.5,
Classy-Bear,1,1,1.0,0.05732638888888889,1,1,1.0,0.0
Copilot,5,2,0.4,5.3966666666666665,5,1,0.6,13.145492348786865
Daesgar,23,20,0.8695652173913043,0.07529513888888889,17,7,1.0,33.42638698255952
EDsCODE,17,13,0.7647058823529411,1.969375,13,5,1.0,127.09911091482996
Fizza-Mukhtar,1,0,0.0,,1,0,1.0,
GauravBansal29,1,1,1.0,2.1747453703703705,1,0,1.0,0.0
Gilbert09,72,60,0.8333333333333334,0.11114004629629629,37,8,1.0,446.0148754583586
Greeva48,2,0,0.0,,2,0,1.0,
HarshadaGawas05,2,0,0.0,,2,2,1.0,
Hettbhutak,1,0,0.0,,1,0,1.0,
Illumiknight07,1,0,0.0,,1,1,1.0,
JJCLane,1,1,1.0,1.1018287037037038,1,0,1.0,0.0
JasonLovesDoggo,2,0,0.0,,1,2,1.0,
JiwaniZakir,1,0,0.0,,1,1,1.0,
KaranPradhan266,1,1,1.0,10.463101851851851,1,0,1.0,0.0
KarloAldrete,1,0,0.0,,1,1,1.0,
KevinRSDNguyen,2,0,0.0,,1,2,1.0,
KyeongJooni,1,0,0.0,,1,0,1.0,
Mah1ndra,1,0,0.0,,1,0,1.0,
MarconLP,34,23,0.6764705882352942,0.8898148148148148,20,15,0.8823529411764706,6.435313289275398
MattBro,100,72,0.72,0.9823784722222222,43,60,0.96,23.998567835093844
MattPua,65,53,0.8153846153846154,0.7240856481481481,13,65,0.9846153846153847,1.181520643733246
MichaelKutsch-ph,6,5,0.8333333333333334,0.4436921296296296,5,3,1.0,74.27750134181026
MikeAthie,1,0,0.0,,1,0,1.0,
MuzzaiyyanHussain,1,0,0.0,,1,0,1.0,
NewSmoke38,2,0,0.0,,2,0,1.0,
Nezz,1,1,1.0,0.06583333333333333,1,0,1.0,0.0
Niceplace,1,0,0.0,,1,0,1.0,
Piccirello,105,95,0.9047619047619048,0.15354166666666666,43,35,0.9809523809523809,4.822148380273672
ProCO-RPHopkins,2,1,0.5,43.314861111111114,2,0,1.0,0.0
Radu-Raicea,52,44,0.8461538461538461,0.7313310185185184,31,25,1.0,12.45036282129579
ReeceJones,95,85,0.8947368421052632,1.7569907407407408,48,46,1.0,43.24862016428006
Sahilarora83,1,0,0.0,,1,1,1.0,
SaraMiteva,1,1,1.0,12.88888888888889,1,1,1.0,0.0
Sireeshreddy01,1,0,0.0,,1,1,1.0,
Suhaib3100,2,0,0.0,,2,0,1.0,
TueHaulund,78,63,0.8076923076923077,0.3619675925925926,41,46,0.9615384615384616,26.180878615101975
Twixes,110,73,0.6636363636363637,0.9878125,46,55,0.9363636363636364,27.958233024316552
Vitor-Bukovitz,1,0,0.0,,1,0,0.0,
VojtechBartos,27,21,0.7777777777777778,0.6492245370370371,14,27,1.0,3.8285869535728674
a-lider,60,42,0.7,0.9477777777777778,35,21,0.9833333333333333,215.92124691216088
abalinda,1,0,0.0,,1,0,1.0,
abheek9,2,2,1.0,1.446857638888889,2,0,1.0,1.976058220037348
abhischekt,25,15,0.6,0.967662037037037,19,3,0.88,2.625426628041171
abigailbramble,2,1,0.5,2.0296875,2,0,1.0,0.0
ablaszkiewicz,83,66,0.7951807228915663,0.22715856481481483,51,48,0.963855421686747,6.592405526391201
adamleithp,118,101,0.8559322033898306,0.2220138888888889,58,39,0.9830508474576272,8.237926634574272
adboio,189,150,0.7936507936507936,1.6982581018518519,63,49,0.9206349206349206,22.913351744728224
advaitpaliwal,2,0,0.0,,1,2,1.0,
