author,total_prs_created,total_prs_merged,merge_rate,median_time_to_merge,days_active,recent_prs,product_impact_ratio,stability,median_time_to_merge_inv,activity_score,merge_rate_norm,total_prs_merged_norm,median_time_to_merge_inv_norm,product_impact_ratio_norm,activity_score_norm,days_active_norm,recent_prs_norm,stability_norm,impact_score
AaronDewes,1,0,0.0,,1,0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arpan200502,1,0,0.0,,1,1,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.008547008547008548,0.0,0.0008547008547008548
Basit-Balogun10,2,0,0.0,,2,0,0.5,,,,0.0,0.0,0.0,0.5,0.0,0.012987012987012988,0.0,0.0,0.001948051948051948
Classy-Bear,1,1,1.0,0.0573263888888888,1,1,1.0,0.0,17.443973349485187,17.443973349485187,1.0,0.004484304932735426,0.32593982324788484,1.0,0.008138612356274987,0.0,0.008547008547008548,0.0,0.3169395264908249
Copilot,5,2,0.4,5.3966666666666665,5,1,0.6,13.145492348786863,0.1852995676343422,0.3705991352686844,0.4,0.008968609865470852,0.0032785303563417955,0.6,0.00016836597492488295,0.05194805194805195,0.008547008547008548,0.012149372379475951,0.11231127392921877
Daesgar,23,20,0.8695652173913043,0.0752951388888888,17,7,1.0,33.42638698255952,13.28106986396128,265.6213972792256,0.8695652173913043,0.08968609865470852,0.24811183728558178,1.0,0.12399357987416326,0.2077922077922078,0.05982905982905983,0.0308934509241916,0.32519197378004044
EDsCODE,17,13,0.7647058823529411,1.969375,13,5,1.0,127.09911091482996,0.5077753094255791,6.601079022532529,0.7647058823529411,0.05829596412556054,0.009307408420074534,1.0,0.0030768982399876437,0.15584415584415584,0.042735042735042736,0.1174679796414845,0.2440940707116384
Fizza-Mukhtar,1,0,0.0,,1,0,1.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GauravBansal29,1,1,1.0,2.1747453703703705,1,0,1.0,0.0,0.4598239470350935,0.4598239470350935,1.0,0.004484304932735426,0.008410928842304464,1.0,0.00021001818287073336,0.0,0.0,0.0,0.252579046755008
Gilbert09,72,60,0.8333333333333334,0.1111400462962962,37,8,1.0,446.0148754583586,8.997656860192667,539.85941161156,0.8333333333333334,0.26905829596412556,0.1680308533551809,1.0,0.25201423437026865,0.4675324675324675,0.06837606837606838,0.4122174099648131,0.4139403811611529
